Semaine (lundi),Dépense ads ($),Impressions,CTR (%),Leads,CPL ($),Fréquence,RDV fixés,Essais présents,Show-up (%),Inscriptions,Closing (%),CAC ($),Nouveau récurrent ajouté ($/mois),Départs (churn),Membres actifs total,Délai moyen 1er contact (min),Décision de la semaine
2026-07-27,70,,,,,,,,,,,,,,,,Exemple — lancement campagne
2026-08-03,70,,,,,,,,,,,,,,,,
2026-08-10,70,,,,,,,,,,,,,,,,
2026-08-17,70,,,,,,,,,,,,,,,,
2026-08-24,70,,,,,,,,,,,,,,,,
2026-08-31,70,,,,,,,,,,,,,,,,
2026-09-07,70,,,,,,,,,,,,,,,,
2026-09-14,70,,,,,,,,,,,,,,,,
2026-09-21,70,,,,,,,,,,,,,,,,
2026-09-28,70,,,,,,,,,,,,,,,,
2026-10-05,70,,,,,,,,,,,,,,,,
